Date,Region,City,Category,UnitsSold,Revenue,CustomerRating
2024-01-01,North,Delhi,Sports,7,2540.81,3.0
2024-01-02,North,Lucknow,Apparel,6,1795.59,3.9
2024-01-03,North,Lucknow,Electronics,11,13092.25,3.3
2024-01-04,East,Kolkata,Sports,7,2390.97,3.4
2024-01-05,South,Bengaluru,Electronics,8,11157.75,3.6
2024-01-06,East,Kolkata,Sports,12,3072.87,3.6
2024-01-07,East,Guwahati,Home & Kitchen,12,5493.04,4.4
2024-01-08,North,Lucknow,Electronics,7,10520.29,3.3
2024-01-09,North,Chandigarh,Electronics,10,13028.84,3.6
2024-01-10,South,Hyderabad,Electronics,13,15212.06,4.1
2024-01-11,South,Hyderabad,Sports,7,2406.1,5.0
2024-01-12,South,Hyderabad,Apparel,9,2918.43,4.6
2024-01-13,East,Bhubaneswar,Electronics,9,9978.59,4.7
2024-01-14,East,Kolkata,Home & Kitchen,10,4245.62,3.8
2024-01-15,East,Kolkata,Electronics,9,12528.94,4.1
2024-01-16,West,Pune,Electronics,13,15699.14,3.0
2024-01-17,North,Delhi,Electronics,8,9628.29,4.1
2024-01-18,West,Pune,Home & Kitchen,8,4451.25,4.0
2024-01-19,North,Lucknow,Sports,11,3357.02,3.4
2024-01-20,East,Kolkata,Electronics,6,9629.35,4.4
2024-01-21,East,Guwahati,Sports,8,3043.97,4.2
2024-01-22,South,Chennai,Apparel,9,2013.24,4.8
2024-01-23,North,Lucknow,Apparel,8,1798.79,4.7
2024-01-24,East,Kolkata,Electronics,14,14890.97,3.0
2024-01-25,West,Mumbai,Beauty,8,1857.35,4.3
2024-01-26,South,Bengaluru,Home & Kitchen,12,4847.65,4.8
2024-01-27,South,Hyderabad,Apparel,13,3284.88,3.8
2024-01-28,West,Mumbai,Electronics,6,8980.61,4.0
2024-01-29,South,Chennai,Electronics,9,13125.16,4.8
2024-01-30,East,Kolkata,Home & Kitchen,8,3958.47,4.0
2024-01-31,West,Mumbai,Sports,10,3606.8,3.0
2024-02-01,West,Pune,Apparel,10,2488.52,4.3
2024-02-02,North,Delhi,Apparel,10,2295.1,3.3
2024-02-03,South,Hyderabad,Apparel,8,2422.14,3.3
2024-02-04,North,Chandigarh,Sports,10,3702.63,4.2
2024-02-05,North,Delhi,Beauty,10,2214.68,3.9
2024-02-06,South,Bengaluru,Beauty,6,1463.69,3.7
2024-02-07,West,Pune,Apparel,15,3244.92,4.0
2024-02-08,West,Mumbai,Electronics,6,10156.83,4.4
2024-02-09,North,Lucknow,Apparel,7,1860.81,4.8
2024-02-10,South,Chennai,Beauty,6,1373.45,4.1
2024-02-11,South,Bengaluru,Electronics,11,15113.68,4.1
2024-02-12,North,Chandigarh,Home & Kitchen,9,4774.31,3.4
2024-02-13,East,Kolkata,Electronics,8,9543.18,3.8
2024-02-14,North,Delhi,Apparel,15,3319.13,3.0
2024-02-15,South,Hyderabad,Electronics,14,15459.66,4.7
2024-02-16,East,Bhubaneswar,Electronics,13,14734.23,4.1
2024-02-17,North,Lucknow,Sports,9,2700.9,4.9
2024-02-18,South,Bengaluru,Electronics,7,9390.75,3.4
2024-02-19,South,Hyderabad,Apparel,13,2849.39,3.9
2024-02-20,East,Kolkata,Electronics,8,11735.99,2.8
2024-02-21,South,Hyderabad,Beauty,7,1471.09,4.4
2024-02-22,North,Delhi,Electronics,14,15142.08,4.0
2024-02-23,East,Guwahati,Home & Kitchen,8,4424.65,3.6
2024-02-24,North,Chandigarh,Electronics,7,10471.92,4.5
2024-02-25,West,Ahmedabad,Sports,11,3869.95,3.2
2024-02-26,South,Bengaluru,Electronics,10,14086.96,4.8
2024-02-27,South,Bengaluru,Electronics,10,13832.51,2.9
2024-02-28,West,Mumbai,Electronics,12,15448.23,4.6
2024-02-29,South,Chennai,Electronics,7,10079.36,4.7
2024-03-01,East,Bhubaneswar,Home & Kitchen,11,4356.01,4.0
2024-03-02,North,Delhi,Beauty,9,1589.15,5.0
2024-03-03,North,Delhi,Home & Kitchen,10,4209.94,3.8
2024-03-04,North,Chandigarh,Beauty,6,1511.44,3.8
2024-03-05,South,Bengaluru,Apparel,15,3274.86,4.2
2024-03-06,North,Lucknow,Beauty,11,1866.44,3.5
2024-03-07,East,Guwahati,Electronics,11,11804.31,4.3
